Cycle,Voltage_mean,Temperature_max,Time_at_max_temp,Discharge_duration
32,0.7879,0.543,0.6379,3268.687
73,0.5619,0.5415,0.6366,3151.047
85,0.1239,0.901,0.5273,2329.375
35,0.4591,0.0633,0.4218,2322.156
64,0.8298,0.5498,0.7577,3150.375
70,0.658,0.4934,0.5855,3159.078
61,0.7849,0.3572,0.6928,3212.469
117,0.2821,0.832,0.2276,2929.125
59,0.3501,0.7794,0.537,2408.781
4,0.6722,0.4679,0.98,3631.563
21,0.8619,0.0,0.7465,3302.031
68,0.1262,0.9383,0.5081,2396.719
76,0.5895,0.4515,0.5593,3135.031
34,0.8874,0.5261,0.472,2518.547
91,0.1612,0.7702,0.7453,2463.578
33,0.994,0.1407,0.9162,3395.219
145,0.0841,0.8893,0.0799,2847.36
59,0.1671,0.7412,0.3082,2408.781
8,0.2833,0.5633,0.781,2446.062
54,0.9078,0.2931,0.7276,3171.36
45,0.9317,0.1915,0.6276,2521.985
7,0.5835,0.7638,1.0,2495.5
122,0.4769,0.6067,0.2212,3009.016
25,0.8519,0.1069,0.7816,3325.235
28,0.8961,0.1479,0.1949,2579.203
30,0.8225,0.3378,0.6722,3287.0
33,0.8949,0.3974,0.6118,3191.735
132,0.032,0.7978,0.0047,2742.843
35,0.9517,0.0289,0.89,3368.187
134,0.2508,0.9448,0.1787,2901.25
116,0.6836,0.6465,0.2444,3046.125
161,0.408,0.6081,0.3831,3028.828
127,0.5412,0.6074,0.1745,2993.75
145,0.2199,0.2638,0.3193,2964.75
105,0.0393,0.9985,0.0319,2779.5
38,0.9701,0.2489,0.783,3192.172
15,0.6238,0.0735,0.6964,3211.859
102,0.3777,0.7143,0.32,3002.641
32,0.8811,0.3689,0.5787,3188.625
9,0.8333,0.2659,0.8156,2713.25
118,0.6726,0.6241,0.2099,3028.562
42,0.9366,0.1854,0.7099,3155.25
98,0.4037,0.7211,0.3773,3030.375
99,0.4345,0.6888,0.3587,3021.0
93,0.2006,0.8554,0.1564,2870.234
85,0.4522,0.5435,0.4023,3067.203
42,0.9386,0.2936,0.817,3311.828
160,0.4502,0.485,0.3731,3022.609
101,0.3715,0.3491,0.2051,2322.0
10,0.9574,0.4595,0.9384,3404.141
87,0.5107,0.4893,0.4402,3086.688
84,0.4491,0.0938,0.6497,3104.64
55,0.7258,0.5869,0.4764,2481.078
71,0.8881,0.2468,0.3095,2412.25
44,0.2604,1.0,0.9079,2534.156
28,0.8821,0.2642,0.6817,2579.203
124,0.1712,0.6027,0.0682,2809.234
161,0.5153,0.5502,0.4707,3028.828
167,0.4978,0.7711,0.2016,2995.047
9,0.7457,0.14,0.2376,2713.25
108,0.498,0.6262,0.5721,3071.782
183,0.2276,0.7754,0.1575,2918.25
11,0.3673,0.4602,0.5971,2394.734
151,0.1975,0.5819,0.1234,2864.547
26,0.8259,0.1151,0.8703,3228.141
73,0.3863,0.6468,0.3166,3012.937
112,0.3334,0.7964,0.258,2956.359
35,0.6967,0.0325,0.8327,3182.156
32,0.9952,0.1891,0.9345,3414.109
36,0.9733,0.1476,0.8806,3368.266
93,0.1485,0.7189,0.342,2400.672
22,0.8044,0.0614,0.7129,3305.547
101,0.165,0.5592,0.0884,2322.0
42,0.4758,0.863,0.5747,2459.313
8,0.2491,0.2178,0.9296,3235.36
61,0.9673,0.0,0.4445,2420.671
18,0.3719,0.7677,0.7171,2410.688
89,0.4129,0.7582,0.3827,3049.328
192,0.7,0.3989,0.0164,2854.64
58,0.8096,0.3669,0.729,3240.14
50,0.4256,0.5481,0.6142,2522.375
46,0.5432,0.7887,0.6349,2503.172
113,0.3294,0.7084,0.2969,3042.703
110,0.4719,0.519,0.5293,3053.656
124,0.5816,0.6004,0.1989,3010.703
123,0.6184,0.6099,0.2069,3014.672
53,0.1896,0.8218,0.4826,2473.875
191,0.5267,0.4759,0.0612,2852.844
65,0.4935,0.4895,0.3644,3062.328
99,0.5512,0.7283,0.4403,2363.047
72,0.6814,0.3642,0.587,3141.203
132,0.1841,0.6695,0.1543,2882.969
2,0.8768,0.7092,0.9777,3425.485
56,0.8409,0.2845,0.7372,3248.593
47,0.8032,0.142,0.7186,3285.812
58,0.9612,0.4083,0.7095,3172.375
78,0.6068,0.5584,0.5392,3120.86
29,0.8007,0.4584,0.6951,3295.453
140,0.1278,0.9525,0.1154,2864.984
58,0.1343,0.9299,0.5792,2449.922
86,0.4615,0.4983,0.4136,3058.157
155,0.1232,0.298,0.2241,2924.422
87,0.4478,0.5873,0.3825,3058.812
155,0.0842,0.8362,0.0624,2829.843
32,0.7506,0.0635,0.848,3188.625
80,0.612,0.417,0.4901,3116.641
175,0.8078,0.5028,0.1568,2959.281
104,0.4329,0.8763,0.3676,3020.11
121,0.2201,0.4221,0.1446,2848.859
75,0.3694,0.9569,0.5621,2373.89
74,0.8143,0.7853,0.7785,3159.172
70,0.7154,0.1865,0.7824,3160.843
23,0.3902,0.2244,1.0,3252.985
193,0.2596,1.0,0.1746,2897.844
5,0.963,0.1007,0.2661,2786.578
117,0.4713,0.2871,0.482,3033.625
90,0.5024,0.3226,0.6285,3095.687
142,0.5728,0.7744,0.2571,3011.609
62,0.1233,0.905,0.4983,2409.906
155,0.3665,0.6239,0.1638,2924.422
36,0.6661,0.4872,0.5895,3236.515
99,0.3387,0.1438,0.5583,3065.953
39,0.1339,0.9215,0.6478,2491.375
27,0.8912,0.4892,0.7279,3311.766
95,0.8133,0.5214,0.1765,3064.437
170,0.3276,0.266,0.3253,2967.281
184,0.6088,0.4571,0.1108,2915.484
171,0.3265,0.7839,0.165,2962.609
96,0.5854,0.367,0.0927,2373.687
176,0.2059,0.3127,0.2675,2942.797
148,0.6685,0.9101,0.2074,3001.235
92,0.5026,0.7585,0.4575,3074.266
24,0.5113,0.1736,0.9549,3245.25
120,0.416,0.2519,0.4437,3017.391
125,0.2327,0.8378,0.1966,2919.812
14,0.466,0.6591,0.7504,2420.671
52,0.47,0.8087,0.7187,2474.844
62,0.5614,0.4745,0.4279,3105.265
68,0.6481,0.4406,0.5467,3167.593
158,0.0847,0.5301,0.0409,2819.579
37,0.5795,0.4926,0.3876,2459.297
71,0.6773,0.359,0.6143,3147.141
70,0.3661,0.5342,0.3069,3003.0
50,0.4525,0.7203,0.7964,3191.516
14,0.5274,0.1095,0.7498,3216.546
175,0.3241,0.4853,0.3064,2959.281
182,0.5224,0.5134,0.1427,2918.938
13,0.4514,0.77,0.8234,2442.547
138,0.2833,0.9144,0.2149,3011.734
165,0.3572,0.1934,0.3706,2986.469
56,0.7792,0.3516,0.691,3248.593
42,0.0161,0.8501,0.4368,2326.657
133,0.3422,0.4219,0.3982,2998.156
144,0.1165,0.9389,0.0889,2847.437
81,0.2913,0.5766,0.2214,2921.031
51,0.7322,0.4016,0.8266,3189.985
114,0.3074,0.9759,0.2581,2956.406
27,0.7707,0.1484,0.9171,3217.875
23,0.5538,0.4276,0.5051,2444.703
65,0.8119,0.6448,0.4002,3134.078
78,0.5527,0.5599,0.4731,3120.86
188,0.6749,0.4185,0.0506,2888.719
144,0.2244,0.3193,0.3467,2976.313
138,0.2055,0.6569,0.1338,2874.031
150,0.1847,0.7417,0.2505,2950.39
129,0.6002,0.6237,0.1506,2990.859
64,0.9227,0.4734,0.6405,3150.375
50,0.7305,0.1535,0.6059,3232.265
55,0.784,0.4826,0.806,3170.843
55,0.6025,0.7332,0.6046,2481.078
57,0.4376,0.8787,0.6673,2440.547
57,0.7759,0.3245,0.7019,3238.766
5,0.6688,0.4616,0.9776,3629.172
53,0.3939,0.9272,0.7507,2473.875
25,0.7237,0.0433,0.9576,3235.031
164,0.449,0.736,0.2366,2996.922
112,0.3222,0.812,0.2594,2956.359
162,0.274,0.9687,0.42,3037.875
126,0.3372,0.2746,0.4161,3005.734
5,0.4078,0.662,1.0,2786.578
20,0.9623,0.0,0.1482,2577.891
33,0.9672,0.0521,0.8755,3395.219
124,0.284,0.6759,0.2158,2918.375
18,0.9391,0.3114,0.791,3339.969
92,0.5836,0.512,0.6556,3107.141
28,0.8289,0.4085,0.725,3220.219
45,0.5887,0.2516,0.5028,3181.625
130,0.1643,0.8166,0.1516,2882.906
130,0.5269,0.855,0.1974,3024.453
88,0.7785,0.5728,0.2527,3094.281
79,0.6105,0.3349,0.126,2345.453
186,0.0977,0.212,0.1526,2894.14
104,0.4156,0.427,0.5687,3070.344
36,0.86,0.4418,0.5314,3180.156
100,0.3734,0.5529,0.2169,2316.687
13,0.9667,0.2295,0.8645,3370.656
50,0.2544,0.6414,0.6736,2522.375
99,0.1603,0.8664,0.0674,2821.531
110,0.3765,0.8565,0.2785,2974.985
148,0.476,1.0,0.4055,3001.235
47,0.5041,0.8637,0.6811,2474.344
16,0.9392,0.5244,0.8359,3357.734
100,0.302,0.1021,0.5344,3055.828
32,0.1411,0.9347,0.7217,2536.204
125,0.2703,0.6785,0.2067,2919.812
23,0.9132,0.3237,0.8244,2683.406
103,0.3479,0.7629,0.35,3012.0
127,0.2021,0.8365,0.1788,2901.375
12,0.4249,0.1629,0.8133,3224.5
64,0.7567,0.3578,0.6573,3195.125
97,0.501,0.4629,0.5832,3076.484
39,0.9362,0.3342,0.803,3194.735
36,0.9772,0.1045,0.7477,3180.156
164,0.4073,0.2533,0.3953,2996.922
127,0.3518,0.2524,0.3878,2993.75
102,0.49,0.8515,0.4233,2357.687
109,0.3261,0.8931,0.2965,2975.297
116,0.2764,0.8855,0.2325,2937.984
33,0.4449,0.7781,0.5911,2488.86
114,0.3203,0.9513,0.2504,2956.406
50,0.7469,0.3312,0.814,3191.516
63,0.9207,0.8568,0.7787,3159.281
27,0.6665,0.1906,0.8841,3217.875
15,0.7161,0.3724,0.3578,2409.906
55,0.234,0.9994,0.5403,2357.687
115,0.177,0.9092,0.0629,2812.719
21,0.7548,0.7021,0.5531,2572.36
26,0.2013,0.9246,0.7819,2604.125
128,0.6758,0.6088,0.1361,2998.125
138,0.1661,0.9463,0.1243,2874.031
195,0.6287,0.6032,0.0829,2866.234
82,0.0876,0.8581,0.4368,2322.156
94,0.4504,0.6826,0.4211,3056.437
159,0.0376,0.6057,0.042,2810.672
20,0.9079,0.222,0.6107,2577.891
113,0.3315,0.8713,0.2578,2956.344
98,0.4215,0.6652,0.3509,3030.375
13,0.8952,0.3957,0.9365,3470.281
6,0.2954,0.3744,0.5362,2667.89
84,0.2701,0.7962,0.159,2892.094
153,0.1199,0.8405,0.0801,2837.969
141,0.4261,0.6201,0.4172,3006.203
126,0.2732,0.6604,0.1961,2900.422
49,0.2207,0.9215,0.9585,2560.688
39,0.938,0.0,0.8356,3331.265
40,0.9634,0.2886,0.7775,3178.75
33,0.0155,0.8221,0.5486,2360.172
100,0.1062,0.9091,0.0758,2805.156
101,0.7076,0.5946,0.1983,3051.468
14,0.9918,0.0202,0.1687,2640.016
165,0.5474,0.4554,0.2669,2986.469
53,0.8734,0.3125,0.7533,3176.016
86,0.568,0.5253,0.3176,2333.875
12,0.8565,0.437,0.937,3491.016
95,0.537,0.4592,0.3628,3064.437
58,0.703,0.5888,0.5263,2449.922
136,0.6346,0.8566,0.2482,3047.703
51,0.92,0.2561,0.7516,3283.563
51,0.3687,0.753,0.7387,2488.719
188,0.411,0.6563,0.001,2888.719
93,0.7246,0.6421,0.2619,3090.719
95,0.7167,0.4735,0.4537,2392.375
37,0.9666,0.0749,0.8712,3358.719
24,0.5743,0.369,0.8908,3245.25
188,0.0843,0.1998,0.1398,2888.719
68,0.4186,0.4738,0.3266,3031.25
40,0.6947,0.4189,0.6496,3250.75
66,0.978,0.1384,0.2395,2402.125
172,0.1871,0.2008,0.3011,2957.016
135,0.2349,0.6771,0.1645,2891.703
55,0.1613,0.9141,0.6055,2481.078
7,0.2476,0.77,1.0,2530.172
105,0.2701,0.1578,0.5242,3051.484
73,0.6151,0.7332,0.5771,3151.047
171,0.2358,0.2291,0.3143,2962.609
120,0.6101,0.5927,0.2135,3017.391
153,0.1683,0.3291,0.2519,2936.171
139,0.7122,0.5577,0.1328,3002.922
56,0.7638,0.2338,0.1695,2460.125
31,0.9207,0.1226,0.5964,2536.172
31,0.9342,0.0817,0.7963,3200.969
126,0.4815,0.647,0.2117,3005.734
101,0.3681,0.7432,0.3308,3012.265
103,0.371,0.7089,0.3195,3012.0
15,0.9148,0.4699,0.6083,2621.187
86,0.4048,0.557,0.3927,3058.157
111,0.3414,0.834,0.269,2966.25
16,0.9384,0.2776,0.9135,3429.407
73,0.6149,0.2149,0.3756,2361.047
26,0.7226,0.0798,0.9413,3228.141
49,0.2054,0.7716,0.5526,2560.688
1,0.5595,0.5455,1.0,3690.234
113,0.2585,0.3745,0.5034,3042.703
119,0.0393,0.6653,0.0397,2766.516
155,0.5459,0.6057,0.0402,2924.422
101,0.4879,0.5192,0.3411,3051.468
39,0.0693,0.7738,0.4609,2333.875
98,0.4738,0.6647,0.4061,3081.297
65,0.6614,0.2546,0.7192,3134.078
58,0.6587,0.4083,0.5253,3165.828
97,0.1302,0.8684,0.1114,2832.703
1,0.6693,0.3236,1.0,3690.234
71,0.4587,0.5569,0.3808,3045.187
24,0.773,0.13,0.3499,2646.156
69,0.6453,0.442,0.7087,3171.906
107,0.2888,0.1697,0.5125,3046.532
101,0.3323,0.1184,0.5241,3051.468
81,0.54,0.1129,0.6643,3110.844
42,0.921,0.2364,0.783,3311.828
41,0.9882,0.1965,0.7246,3165.359
160,0.0416,0.8621,0.0359,2811.485
83,0.4791,0.0687,0.6377,3099.563
125,0.4983,0.6716,0.2018,3011.75
123,0.2804,0.8186,0.2144,2929.078
54,0.4595,0.7969,0.7186,2495.5
55,0.8267,0.3035,0.7119,3257.594
140,0.6988,0.468,0.1131,2986.718
125,0.1063,0.6336,0.0626,2791.187
127,0.2617,0.6515,0.1859,2901.375
101,0.4083,0.7215,0.3411,3012.265
166,0.0283,0.8941,0.0082,2792.485
11,0.9771,0.5394,0.9171,3396.141
151,0.394,0.7058,0.1142,2941.719
37,0.7055,0.3947,0.5526,3230.734
67,0.3609,0.6722,0.3728,2355.265
123,0.3155,0.2638,0.4372,3014.672
93,0.4521,0.5762,0.4226,3090.719
147,0.6941,0.654,0.1672,2988.453
34,0.952,0.1403,0.0613,2518.547
89,0.5023,0.497,0.4239,3088.328
102,0.3363,0.6409,0.4247,2357.687
49,0.7619,0.1657,0.6413,3240.031
11,0.0509,0.2501,0.9133,3226.078
32,0.9733,0.1446,0.8965,3414.109
59,0.8184,0.4243,0.7101,3230.109
110,0.4989,0.7444,0.3357,3053.656
67,0.6553,0.4295,0.5564,3176.438
38,0.8406,0.4861,0.8564,3192.172
109,0.567,0.8003,0.5786,3074.532
38,0.9301,0.0,0.8137,3339.5
23,0.8662,0.129,0.3661,2683.406
74,0.6858,0.7953,0.592,3159.172
43,0.9259,0.2161,0.8002,3327.391
112,0.3977,0.6071,0.2712,3023.5
35,0.2426,0.767,0.6145,2485.766
194,0.2382,0.9821,0.1728,2896.063
85,0.5613,0.4701,0.46,3099.875
105,0.3807,0.876,0.3412,3002.172
73,0.2401,0.69,0.4305,2361.047
197,0.7385,0.4412,0.0,2829.516
79,0.7781,0.6049,0.3465,3120.172
109,0.3596,0.8752,0.2899,2975.297
88,0.4504,0.6699,0.3715,3058.578
30,0.9694,0.0883,0.8728,3392.719
168,0.1165,0.8906,0.0634,2820.39
106,0.2341,0.1386,0.532,3054.812
167,0.4061,0.4649,0.3909,2995.047
52,0.2043,0.7318,0.3996,2474.844
59,0.7734,0.456,0.6596,3230.109
72,0.6577,0.4752,0.5571,3149.094
115,0.746,0.7,0.2937,3066.766
142,0.0876,0.8747,0.0974,2855.625
196,0.083,0.3842,0.0167,2836.609
176,0.6461,0.4864,0.1573,2942.797
130,0.6252,0.7991,0.217,3024.453
85,0.0906,0.8646,0.3535,2329.375
46,0.5379,0.7923,0.7221,2503.172
77,0.5853,0.4148,0.5319,3117.984
61,0.9304,0.2828,0.6043,3138.187
55,0.8461,0.3189,0.7552,3257.594
141,0.7204,0.6112,0.1862,3006.203
116,0.5022,0.3309,0.5115,3046.125
132,0.4417,0.675,0.4517,3020.813
83,0.2482,0.8015,0.4714,2327.157
77,0.3807,0.6089,0.2341,2954.797
185,0.0816,0.2379,0.1806,2906.015
30,0.5693,0.8437,0.6803,2525.609
94,0.1872,0.8753,0.1487,2864.11
47,0.594,0.3323,0.911,3198.0
141,0.1435,0.6202,0.1136,2855.093
121,0.3704,0.2523,0.4549,3022.14
107,0.3532,0.8196,0.2994,2964.468
35,0.9126,0.1204,0.7684,3182.156
106,0.2903,0.3957,0.2251,2899.234
69,0.8638,0.3687,0.8085,3171.906
50,0.9494,0.3047,0.7716,3301.579
49,1.0,0.5711,0.8531,3329.266
28,0.969,0.3638,0.5542,2579.203
84,0.5512,0.6839,0.3734,2335.0
154,0.1984,0.3295,0.2309,2927.281
13,0.5319,0.104,0.7664,3222.188
93,0.5199,0.6788,0.4305,3066.0
149,0.073,0.6819,0.0722,2828.328
15,0.7849,0.5366,0.707,2621.187
156,0.0491,0.6222,0.0632,2829.625
187,0.0673,0.2196,0.1476,2892.031
117,0.7873,0.5721,0.1938,3033.625
79,0.2973,0.7469,0.2316,2941.375
51,0.4777,0.5397,0.498,2345.0
160,0.4758,0.3171,0.456,3022.609
16,0.3543,0.6861,0.7371,2416.672
11,0.4873,0.7089,0.848,2449.922
102,0.459,0.4919,0.5655,3069.0
154,0.278,0.6662,0.1919,2927.281
44,0.7797,0.1011,0.0,2463.578
110,0.6043,0.7834,0.2989,3053.656
163,0.4346,0.828,0.3246,3023.187
13,0.2748,0.6794,0.4589,2619.578
49,0.8138,0.2563,0.8036,3183.797
104,0.1089,0.9286,0.0249,2785.391
97,0.6512,0.7249,0.3091,3076.484
27,0.9884,0.0382,0.1406,2588.594
152,0.5411,0.6242,0.0587,2946.969
131,0.0293,0.9175,0.0326,2753.25
86,0.2907,0.6893,0.256,2942.531
123,0.1461,0.6826,0.0936,2817.375
106,0.3828,0.8333,0.3224,2992.703
11,0.0,0.4504,0.5302,2394.734
20,0.7379,0.1164,0.5322,2355.265
94,0.4189,0.5272,0.3918,3069.812
139,0.2884,0.2928,0.4095,3002.922
35,0.9712,0.3632,0.5136,3182.156
148,0.0996,0.9153,0.0618,2838.515
128,0.103,0.9876,0.0466,2777.844
19,0.8318,0.0403,0.6829,3218.25
23,0.4426,0.3721,1.0,3252.985
122,0.3039,0.8826,0.2321,2937.625
166,0.3992,0.251,0.3535,2979.219
39,0.6072,0.7254,0.6061,2491.375
180,0.323,0.721,0.1151,2925.484
92,0.617,0.6703,0.4453,3107.141
37,0.1415,0.7197,0.4646,2335.0
37,0.5413,0.5973,0.4913,2459.297
45,0.3582,0.8586,0.8776,2458.812
41,0.9382,0.2598,0.8264,3321.844
107,0.2858,0.6026,0.1897,2894.922
183,0.0968,0.2612,0.2095,2918.25
163,0.596,0.557,0.3266,3023.187
73,0.6258,0.5067,0.5581,3140.547
36,0.9384,0.1427,0.8456,3368.266
127,0.0767,0.8227,0.059,2774.719
185,0.7143,0.424,0.0751,2906.015
144,0.1589,0.625,0.0934,2847.437
146,0.2816,0.4573,0.3316,2969.953
16,0.5622,0.1574,0.8539,3215.859
112,0.5495,0.6761,0.2076,3023.5
151,0.2619,0.6638,0.2151,2941.719
12,0.6966,0.5083,0.7929,2673.0
96,0.7818,0.6134,0.2408,3083.25
111,0.6509,0.6462,0.1969,3031.953
32,0.7489,0.6469,0.5737,2536.204
69,0.3629,0.6922,0.6442,2442.344
27,0.9894,0.047,0.8946,3412.406
48,0.3039,0.907,0.656,2392.375
134,0.28,0.6857,0.186,2901.25
193,0.3305,0.8464,0.1614,2897.844
46,0.7633,0.1349,0.7502,3302.36
45,0.8847,0.0865,0.8083,3293.172
15,1.0,0.0719,0.1157,2621.187
35,0.7273,0.4627,0.6066,3243.422
23,0.8292,0.2037,1.0,3252.985
26,0.7019,0.423,0.7691,3228.141
31,0.9522,0.2851,0.5199,2536.172
124,0.2996,0.2472,0.4279,3010.703
82,0.3328,0.8436,0.4063,2322.156
97,0.4257,0.6559,0.3604,3039.047
53,0.8621,0.3189,0.7317,3265.656
103,0.5466,0.6798,0.5897,3079.235
132,0.148,0.8251,0.142,2882.969
185,0.3836,0.6888,0.0356,2906.015
116,0.7666,0.5409,0.2569,3046.125
189,0.369,0.666,0.0,2875.641
53,0.8706,0.3067,0.7818,3265.656
67,0.5018,0.4017,0.3313,3034.672
158,0.3146,0.8016,0.4391,3045.078
63,0.8713,0.2089,0.0,2416.672
97,0.1314,0.7763,0.5501,2385.922
30,0.8505,0.3614,0.6773,3210.546
91,0.1437,0.7217,0.4236,2463.578
51,0.7821,0.3902,0.618,3232.031
21,0.8827,0.0,0.81,3194.39
70,0.3067,1.0,0.731,2444.703
92,0.4951,0.7568,0.4324,3074.266
77,0.5227,0.4598,0.4633,3121.672
19,0.3253,0.6947,0.6325,2556.593
74,0.1118,0.9018,0.5312,2392.468
126,0.2189,0.8327,0.1874,2900.422
134,0.2853,0.3369,0.3713,2986.766
100,0.4257,0.7085,0.3502,3021.75
8,0.2254,0.6332,0.6962,2446.062
162,0.0554,0.5868,0.0212,2801.625
119,0.7421,0.5761,0.1607,3020.984
117,0.2531,0.8594,0.2236,2929.125
25,0.6477,0.152,0.9125,3235.031
24,0.367,0.6529,0.7223,2412.25
21,0.8316,0.4731,0.9821,3552.297
107,0.3315,0.7917,0.2954,2964.468
17,0.6235,0.7296,0.7162,2565.109
45,0.9338,0.4391,0.8655,3196.015
189,0.6853,0.3945,0.0505,2875.641
37,1.0,0.1039,0.7309,3171.953
126,0.5771,0.6525,0.1783,3005.734
62,0.6823,0.4063,0.6192,3213.219
148,0.0871,0.6433,0.0621,2838.515
111,0.3432,0.816,0.2688,2966.25
81,0.5326,0.4636,0.5005,3110.844
52,0.4013,0.7901,0.6784,2474.844
167,0.7366,0.4993,0.2375,2995.047
152,0.1208,0.8893,0.0981,2846.39
58,0.6683,0.8001,0.6417,3172.375
88,0.3027,0.8463,0.3918,2295.109
58,0.8887,0.5866,0.8096,3172.375
176,0.3247,0.7901,0.1514,2942.797
106,0.5498,0.505,0.3002,3054.812
54,0.6831,0.6775,0.6212,3171.36
118,0.4336,0.255,0.47,3028.562
87,0.5956,0.3369,0.0976,2317.453
8,0.5331,0.6831,0.9519,2481.078
161,0.0086,0.8971,0.0362,2802.422
47,0.8976,0.4514,0.8702,3198.0
87,0.4846,0.0866,0.6073,3086.688
151,0.1295,0.8894,0.1336,2864.547
66,0.9197,0.3379,0.5167,3129.797
166,0.4873,0.7066,0.137,2979.219
82,0.1174,0.7586,0.2529,2322.156
88,0.4777,0.6703,0.4137,3058.578
21,0.823,0.0,0.5614,3194.39
41,0.7469,0.188,0.7931,3165.359
88,0.4002,0.0985,0.6252,3094.281
154,0.1082,0.8363,0.071,2838.156
78,0.8236,0.5697,0.3309,3125.328
16,0.1368,0.9321,0.8163,2616.453
37,0.2857,0.6612,0.5369,2459.297
139,0.1433,1.0,0.1245,2874.234
56,0.6714,0.716,0.6045,3164.672
80,0.2538,0.6772,0.2115,2923.953
145,0.0943,0.6588,0.0935,2847.36
77,0.8191,0.558,0.3215,3117.984
77,0.5847,0.0631,0.6812,3117.984
80,0.4905,0.0779,0.678,3116.641
84,0.5146,0.5825,0.3246,2335.0
77,0.5493,0.449,0.5211,3121.672
60,0.6126,0.3485,0.4596,3131.922
136,0.5588,0.7962,0.5152,3047.703
28,0.7752,0.2572,0.9226,3220.219
69,0.6365,0.4642,0.5362,3167.719
136,0.1502,0.9217,0.142,2883.016
34,0.9734,0.0166,0.8889,3386.0
38,0.9303,0.4808,0.6247,3192.172
180,0.6424,0.4454,0.1313,2925.484
83,0.5132,0.6417,0.4683,3086.531
140,0.1775,0.6799,0.1237,2864.984
74,0.4629,0.6743,0.4154,2392.468
34,0.9732,0.1216,0.7828,3190.313
67,0.139,0.6546,0.204,2355.265
37,0.6959,0.0524,0.8086,3171.953
95,0.3311,0.0,0.5548,3064.437
194,0.2366,0.8701,0.1571,2896.063
113,0.7261,0.608,0.1849,3042.703
15,0.9386,0.3026,0.8542,3363.015
